run	ls	alcatracks	duration	Bfield	mode	mode_flag	mode_text	pixeltracks
377211	11	0	235	3.8	???	GOOD	from_both_DB_and_S/N	0
377214	16	0	366	3.8	???	GOOD	from_both_DB_and_S/N	0
377215	6	0	122	3.8	???	GOOD	from_both_DB_and_S/N	0
377221	111	0	2554	3.8	???	GOOD	from_both_DB_and_S/N	0
377225	13	0	301	3.8	???	GOOD	from_both_DB_and_S/N	0
377230	59	0	1372	3.8	???	GOOD	from_both_DB_and_S/N	0
377233	3	0	49	3.8	???	GOOD	from_both_DB_and_S/N	0
377235	29	0	676	3.8	???	GOOD	from_both_DB_and_S/N	0
377236	13	687	290	3.8	DECO	GOOD	from_both_DB_and_S/N	42
377240	51	2491	1180	3.8	DECO	GOOD	from_both_DB_and_S/N	190
377242	193	9621	4496	3.8	DECO	GOOD	from_both_DB_and_S/N	701
377250	59	3154	1360	3.8	DECO	GOOD	from_both_DB_and_S/N	232
377251	48	2429	1108	3.8	DECO	GOOD	from_both_DB_and_S/N	162
377252	447	23690	10404	3.8	DECO	GOOD	from_both_DB_and_S/N	1705
377253	102	5268	2361	3.8	DECO	GOOD	from_both_DB_and_S/N	352
377254	66	3036	1525	3.8	DECO	GOOD	from_both_DB_and_S/N	197
377255	57	2990	1308	3.8	DECO	GOOD	from_both_DB_and_S/N	206
377256	42	2153	959	3.8	DECO	GOOD	from_both_DB_and_S/N	147
377257	486	25792	11317	3.8	DECO	GOOD	from_both_DB_and_S/N	1806
377264	45	2316	1021	3.8	DECO	GOOD	from_both_DB_and_S/N	176
377266	8	388	174	3.8	DECO	GOOD	from_both_DB_and_S/N	35
377267	688	35655	16017	3.8	DECO	GOOD	from_both_DB_and_S/N	2590
377268	364	19663	8463	3.8	DECO	GOOD	from_both_DB_and_S/N	1421
377288	444	23731	10330	3.8	DECO	GOOD	from_both_DB_and_S/N	1667
377289	7	333	156	3.8	DECO	GOOD	from_both_DB_and_S/N	21
377290	472	24678	10984	3.8	DECO	GOOD	from_both_DB_and_S/N	1849
377294	513	26964	11953	3.8	DECO	GOOD	from_both_DB_and_S/N	1855
377295	446	23311	10369	3.8	DECO	GOOD	from_both_DB_and_S/N	1665
377296	1431	74836	33351	3.8	DECO	GOOD	from_both_DB_and_S/N	5351
377297	1352	71344	31498	3.8	DECO	GOOD	from_both_DB_and_S/N	5027
377298	1941	103811	45231	3.8	DECO	GOOD	from_both_DB_and_S/N	7453
377300	7	355	157	3.8	DECO	GOOD	from_both_DB_and_S/N	14
377303	12	574	270	3.8	DECO	GOOD	from_both_DB_and_S/N	53
377304	22	1049	504	3.8	DECO	GOOD	from_both_DB_and_S/N	82
377305	1	31	20	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	1
377310	16	866	346	3.8	DECO	GOOD	from_both_DB_and_S/N	0
377311	32	1609	745	3.8	DECO	GOOD	from_both_DB_and_S/N	105
377312	70	3767	1624	3.8	DECO	GOOD	from_both_DB_and_S/N	266
377314	5	38	96	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	1
377315	142	7589	3307	3.8	DECO	GOOD	from_both_DB_and_S/N	523
377317	149	7954	3452	3.8	DECO	GOOD	from_both_DB_and_S/N	554
377318	381	20426	8844	3.8	DECO	GOOD	from_both_DB_and_S/N	0
377323	196	10251	4551	3.8	DECO	GOOD	from_both_DB_and_S/N	712
377324	76	4066	1738	3.8	DECO	GOOD	from_both_DB_and_S/N	288
377325	42	2308	975	3.8	DECO	GOOD	from_both_DB_and_S/N	170
377326	21	1082	487	3.8	DECO	GOOD	from_both_DB_and_S/N	70
377327	2106	111278	49073	3.8	DECO	GOOD	from_both_DB_and_S/N	7926
377334	49	0	1140	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377344	76	0	1767	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377347	60	377	1381	3.8	DECO	GOOD	from_both_DB_and_S/N	12
377350	47	280	1090	3.8	DECO	GOOD	from_both_DB_and_S/N	11
377352	267	1649	6212	3.8	DECO	GOOD	from_both_DB_and_S/N	69
377362	3	14	54	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377355	107	640	2490	3.8	DECO	GOOD	from_both_DB_and_S/N	22
377364	148	924	3431	3.8	DECO	GOOD	from_both_DB_and_S/N	36
377374	96	5027	2211	3.8	DECO	GOOD	from_both_DB_and_S/N	337
377376	257	1585	5989	3.8	DECO	GOOD	from_both_DB_and_S/N	61
377382	278	14822	6453	3.8	DECO	GOOD	from_both_DB_and_S/N	1029
377383	1601	83912	37310	3.8	DECO	GOOD	from_both_DB_and_S/N	5998
377392	44	0	1013	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377404	45	0	1039	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377417	574	0	13362	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377436	84	0	1955	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377439	102	0	2363	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377440	61	0	1416	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377441	92	0	2137	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377448	42	0	960	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
377453	51	326	1161	3.8	DECO	GOOD	from_both_DB_and_S/N	28
377455	73	3759	1685	3.8	DECO	GOOD	from_both_DB_and_S/N	281
377456	39	1973	898	3.8	DECO	GOOD	from_both_DB_and_S/N	126
377457	17	880	393	3.8	DECO	GOOD	from_both_DB_and_S/N	54
377458	47	2488	1085	3.8	DECO	GOOD	from_both_DB_and_S/N	183
377460	89	4621	2068	3.8	DECO	GOOD	from_both_DB_and_S/N	325
377459	5	247	91	3.8	DECO	GOOD	from_both_DB_and_S/N	12
377461	203	10578	4727	3.8	DECO	GOOD	from_both_DB_and_S/N	747
377465	63	2849	1445	3.8	DECO	GOOD	from_both_DB_and_S/N	184
377468	9	437	207	3.8	DECO	GOOD	from_both_DB_and_S/N	30
377469	1	37	23	3.8	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	1
377486	36	0	824	3.8	???	GOOD	from_both_DB_and_S/N	0
376873	2	0	29	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
376972	3	0	50	0.0	DECO	WAIT	from_DB_only_(S/N_info_is_inconclusive)	0
